"","iso3c","year","iso2c","country","Gini","GDPperCapPPP","CO2emissions","PopulationDens","UrbanPop","region","capital","longitude","latitude","income","lending","EPI"
"1","AFG",2002,"AF","Afghanistan",NA,895.599148808249,0.0411292293382456,32.9122307998652,21.915,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",19.23
"2","AFG",2003,"AF","Afghanistan",NA,945.686929858971,0.0456188391285911,34.4750298685783,22.237,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",19.32
"3","AFG",2004,"AF","Afghanistan",NA,940.476298982224,0.0404152792464633,35.9952363446987,22.562,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",19.73
"4","AFG",2005,"AF","Afghanistan",NA,1039.40824176659,0.0544039684018999,37.3739362190975,22.895,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",19.78
"5","AFG",2006,"AF","Afghanistan",NA,1095.65562841162,0.0655247469435981,38.5742961737585,23.237,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",20.03
"6","AFG",2007,"AF","Afghanistan",NA,1245.05922295101,0.0878576421317263,39.6372024630089,23.587,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",20.31
"7","AFG",2008,"AF","Afghanistan",NA,1283.04098567395,0.158961557957085,40.6346552093864,23.946,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",20.82
"8","AFG",2009,"AF","Afghanistan",NA,1525.51705383899,0.249073529591755,41.6740051465858,24.313,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",21.36
"9","AFG",2010,"AF","Afghanistan",NA,1629.16729020532,0.30293638839023,42.8303265631223,24.689,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",21.56
"10","AFG",2011,"AF","Afghanistan",NA,1712.58871978343,0.425262104940417,44.1276337959134,25.074,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",21.71
"11","AFG",2012,"AF","Afghanistan",NA,1934.28563418865,0.688083612623934,45.5331970100787,25.468,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",21.57
"12","AFG",2014,"AF","Afghanistan",NA,1939.95412493159,NA,48.4445455380939,26.282,"South Asia","Kabul","69.1761","34.5228","Low income","IDA",21.57
"13","AGO",2002,"AO","Angola",NA,2858.89706878855,0.786223278204629,12.9218705382209,33.895,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",26.3
"14","AGO",2003,"AO","Angola",NA,2961.96457179672,0.543083666763623,13.3884615384615,34.645,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",26.72
"15","AGO",2004,"AO","Angola",NA,3256.65375398279,1.0866048972276,13.8730247854335,35.405,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",27
"16","AGO",2005,"AO","Angola",NA,3838.26457174936,1.06941718451386,14.3682858747092,36.169,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",27.33
"17","AGO",2006,"AO","Angola",NA,4614.59080935648,1.20087714742312,14.8724368332398,36.942,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",27.76
"18","AGO",2007,"AO","Angola",NA,5613.23219621736,1.31109648310951,15.3877492580412,37.722,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",27.85
"19","AGO",2008,"AO","Angola",42.72,6298.01243978425,1.29568651258368,15.915818561001,38.509,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",27.56
"20","AGO",2009,"AO","Angola",NA,6284.27490492998,1.35438857202617,16.4595355739151,39.299,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",28.18
"21","AGO",2010,"AO","Angola",NA,6360.84898012934,1.36933887792594,17.0208983717013,40.097,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",28.62
"22","AGO",2011,"AO","Angola",NA,6524.48118084089,1.3827521969442,17.600301596214,40.9,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",28.63
"23","AGO",2012,"AO","Angola",NA,6758.27804986574,1.4722550379024,18.1965444774204,41.699,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",28.69
"24","AGO",2014,"AO","Angola",NA,7317.83407326534,NA,19.4333231731772,43.274,"Sub-Saharan Africa (all income levels)","Luanda","13.242","-8.81155","Lower middle income","IDA",28.69
"25","ALB",2002,"AL","Albania",31.74,4785.88098074273,1.22954070946998,111.350729927007,43.501,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",48.96
"26","ALB",2003,"AL","Albania",NA,5182.4903673827,1.4126971959616,110.934890510949,44.573,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",49.22
"27","ALB",2004,"AL","Albania",NA,5652.60267276765,1.37621273504355,110.472226277372,45.651,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",51.47
"28","ALB",2005,"AL","Albania",30.6,6199.91272686064,1.41249821101668,109.908284671533,46.731,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",51.63
"29","ALB",2006,"AL","Albania",NA,7066.72564450283,1.30257636722163,109.21704379562,47.815,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",52.85
"30","ALB",2007,"AL","Albania",NA,7658.40857808806,1.32233485532238,108.394781021898,48.902,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",53.15
"31","ALB",2008,"AL","Albania",29.98,8769.0943361725,1.48431113888781,107.566204379562,49.991,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",53.92
"32","ALB",2009,"AL","Albania",NA,9342.0812456971,1.49560019934969,106.843759124088,51.076,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",54.25
"33","ALB",2010,"AL","Albania",NA,9303.93247566951,1.57857358391855,106.314635036496,52.163,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",54.8
"34","ALB",2011,"AL","Albania",NA,9640.14459267576,1.80397241787674,106.013868613139,53.247,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",54.47
"35","ALB",2012,"AL","Albania",28.96,10361.433216136,1.62472196333623,105.848430656934,54.33,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",54.73
"36","ALB",2014,"AL","Albania",NA,11167.0225730627,NA,105.607810218978,56.409,"Europe & Central Asia (all income levels)","Tirane","19.8172","41.3317","Upper middle income","IBRD",54.73
"37","ARE",2002,"AE","United Arab Emirates",NA,82369.6850171255,24.9565514457611,40.5988038277512,81.067,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",73.61
"38","ARE",2003,"AE","United Arab Emirates",NA,85563.6364172279,29.4670889001538,43.3707894736842,81.472,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",73.87
"39","ARE",2004,"AE","United Arab Emirates",NA,87843.7081074576,28.4814369917089,47.5591507177033,81.871,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",73.71
"40","ARE",2005,"AE","United Arab Emirates",NA,84338.3594071577,25.9145872267054,53.6121531100478,82.262,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",74.05
"41","ARE",2006,"AE","United Arab Emirates",NA,82754.2819759593,23.9545191641101,61.8571172248804,82.648,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",73.78
"42","ARE",2007,"AE","United Arab Emirates",NA,75426.793513296,22.5666231843064,71.8911483253589,83.019,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",72.66
"43","ARE",2008,"AE","United Arab Emirates",NA,69124.39621148,22.8045505440323,82.5375837320574,83.377,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",72.5
"44","ARE",2009,"AE","United Arab Emirates",NA,59100.3805379711,21.7975834681626,92.1701315789474,83.723,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",72.38
"45","ARE",2010,"AE","United Arab Emirates",NA,56245.4781588414,19.3065040405414,99.6346052631579,84.055,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",72.54
"46","ARE",2011,"AE","United Arab Emirates",NA,57594.1266833257,18.2700918243305,104.482320574163,84.375,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",72.89
"47","ARE",2012,"AE","United Arab Emirates",NA,61172.9947875255,19.2522228882032,107.087822966507,84.684,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",72.91
"48","ARE",2014,"AE","United Arab Emirates",NA,67921.3994644049,NA,108.685873205742,85.266,"Middle East & North Africa (all income levels)","Abu Dhabi","54.3705","24.4764","High income: nonOECD","Not classified",72.91
"49","ARG",2002,"AR","Argentina",53.79,10234.0568615494,3.29154139320549,13.8449890195821,89.519,"Latin America & Caribbean (all income levels)","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",46.56
"50","ARG",2003,"AR","Argentina",53.54,11235.9923548507,3.52557543531985,13.9984707803953,89.71,"Latin America & Caribbean (all income levels)","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",47.07
"51","ARG",2004,"AR","Argentina",50.18,12451.1310990134,4.06904976449296,14.1516861610193,89.899,"Latin America & Caribbean (all income levels)","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",47.21
"52","ARG",2005,"AR","Argentina",49.27,13845.2247850478,4.14123649643327,14.3039551428916,90.084,"Latin America & Caribbean (all income levels)","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",47.56
"53","ARG",2006,"AR","Argentina",48.26,15271.3549720702,4.43483714728094,14.4549620161582,90.266,"Latin America & Caribbean (all income levels)","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",48.01
"54","ARG",2007,"AR","Argentina",47.37,16915.4352355326,4.38270408111824,14.605199346656,90.445,"Latin America & Caribbean (all income levels)","Buenos Aires","-58.4173","-34.6118","Upper middle income","IBRD",48.18
